Sequence;MOTU_mPTP
DNARA1821N21_Bosmina_Canada_BOLD_AEA5586;20
DNARA1822N21_Bosmina_Canada_BOLD_AEA5586;20
DNARA1823N21_Bosmina_Canada_BOLD_AEA5586;20
DNARC068N19_Bosmina_Canada_BOLD_AEA5586;20
DNARC070N19_Bosmina_Canada_BOLD_AEA5586;20
ESP197N12_Bosmina_Spain_BOLD_ACA1800;20
ESP198N12_Bosmina_Spain_BOLD_ACA1800;20
ESP292N12_B_longirostris_Spain_BOLD_ACA9544;20
ESP505N14_B_meridionalis_Czechia_BOLD_AAO1376;20
ESP506N14_Bosmina_Czechia_BOLD_AAO1376;20
ESP507N14_B_meridionalis_Czechia_BOLD_AAO1376;20
ESP508N14_B_meridionalis_Czechia_BOLD_AAO1376;20
ESP509N14_B_meridionalis_Czechia_BOLD_AAO1376;20
KINBZ001N22_B_longirostris_Israel_BOLD_AEO5856;20
KINBZ002N22_B_longirostris_Israel_BOLD_AEO5856;20
KINBZ003N22_B_longirostris_Israel_BOLD_AEO5856;20
KINBZ004N22_B_longirostris_Israel_BOLD_AEO5856;20
KINBZ005N22_B_longirostris_Israel_BOLD_AEO5856;20
KINBZ006N22_B_longirostris_Israel_BOLD_AEO5856;20
KINBZ007N22_B_longirostris_Israel_BOLD_AEO5856;20
KINBZ008N22_B_longirostris_Israel_BOLD_AEO5856;20
KINBZ009N22_B_longirostris_Israel_BOLD_AAO1376;20
KINBZ010N22_B_longirostris_Israel_BOLD_AEO5856;20
KINBZ011N22_B_longirostris_Israel_BOLD_AEO5856;20
LC215476_B_cf_longirostris;20
BACZP1167N16_B_liederi_Canada_BOLD_ABZ8276;21
BACZP1230N16_B_liederi_Canada_BOLD_ABZ8276;21
BACZP1255N16_B_liederi_Canada_BOLD_ABZ8276;21
CAISN079N12_B_liederi_Canada_BOLD_ABZ8276;21
COAPP287N13_Bosmina_Canada_BOLD_AAI4721;21
COAPP288N13_Bosmina_Canada_BOLD_AAI4721;21
COAPP297N13_Bosmina_Canada_BOLD_AAI4721;21
COAPP411N13_B_liederi_Canada_BOLD_ABZ8276;21
ESP199N12_B_liederi_Spain_BOLD_ABZ8276;21
ESP200N12_B_liederi_Spain_BOLD_ABZ8276;21
ESP201N12_B_liederi_Spain_BOLD_ABZ8276;21
EU702002_B_sp_BOLD_AAI4721;21
GLC040N06_B_liederi_Canada_Great_Lakes;21
HQ966466_B_liederi;21
HQ966467_B_liederi;21
HQ966468_B_liederi;21
HQ966469_B_liederi;21
HQ966470_B_liederi;21
HQ966471_B_liederi;21
JN233822_B_liederi;21
JN233823_B_liederi;21
JN233824_B_liederi;21
KT705731_B_liederi;21
KT706147_B_liederi;21
KT707374_B_liederi;21
KT707760_B_liederi;21
MG448613_B_liederi;21
MG448631_B_liederi;21
MG448650_B_liederi;21
MG448657_B_liederi;21
MG448707_B_liederi;21
MG448765_B_liederi;21
MG448819_B_liederi;21
MG448897_B_liederi;21
MG448968_B_liederi;21
MG448971_B_liederi;21
MG449046_B_liederi;21
MG449067_B_liederi;21
MG449077_B_liederi;21
MG449102_B_liederi;21
MG449147_B_liederi;21
MG449180_B_liederi;21
MG449184_B_liederi;21
MG449207_B_liederi;21
MG449247_B_liederi;21
MG449253_B_liederi;21
MG449265_B_liederi;21
MG449273_B_liederi;21
MG449280_B_liederi;21
MG449315_B_liederi;21
MG449317_B_liederi;21
MG449340_B_liederi;21
MG449357_B_liederi;21
MG449359_B_liederi;21
MG449386_B_liederi;21
MG449436_B_liederi;21
MG449441_B_liederi;21
MG449478_B_liederi;21
MG449481_B_liederi;21
