Sequence;MOTU_GMYCm
COAPP297N13_Bosmina_Canada_BOLD_AAI4721;6
COAPP411N13_B_liederi_Canada_BOLD_ABZ8276;6
DNARA1185N21_Bosmina_Canada_BOLD_AEA5586;6
DNARA1186N21_Bosmina_Canada_BOLD_AEA5586;6
DNARA1187N21_Bosmina_Canada_BOLD_AEA5586;6
DNARA1188N21_Bosmina_Canada_BOLD_AEA5586;6
DNARA1189N21_Bosmina_Canada_BOLD_AEA5586;6
DNARA1190N21_Bosmina_Canada_BOLD_AEA5586;6
DNARA1191N21_Bosmina_Canada_BOLD_AEA5586;6
DNARA1457N21_Bosmina_Canada_BOLD_AEN5568;6
DNARA1626N21_Bosmina_Canada_BOLD_AEA5586;6
DNARA1627N21_Bosmina_Canada_BOLD_AEA5586;6
DNARA1628N21_Bosmina_Canada_BOLD_AEA5586;6
DNARA1629N21_Bosmina_Canada_BOLD_AEA5586;6
DNARA1630N21_Bosmina_Canada_BOLD_AEN5568;6
DNARA1631N21_Bosmina_Canada_BOLD_AEA5586;6
DNARA1632N21_Bosmina_Canada_BOLD_AEA5586;6
DNARA1652N21_Bosmina_Canada_BOLD_AEN5581;6
DNARA1653N21_Bosmina_Canada_BOLD_AEA5586;6
DNARA1655N21_Bosmina_Canada_BOLD_AEA5586;6
DNARA1658N21_Bosmina_Canada_BOLD_AEA5586;6
DNARA1659N21_Bosmina_Canada_BOLD_AEA5586;6
DNARA1660N21_Bosmina_Canada_BOLD_AEA5586;6
DNARA1666N21_Bosmina_Canada_BOLD_AEA5586;6
DNARA1667N21_Bosmina_Canada_BOLD_AEA5586;6
DNARA1682N21_Bosmina_Canada_BOLD_AEN5568;6
DNARA1683N21_Bosmina_Canada_BOLD_AEN5568;6
DNARA1684N21_Bosmina_Canada_BOLD_AEN5568;6
DNARA1809N21_Bosmina_Canada_BOLD_AEA5586;6
DNARA1811N21_Bosmina_Canada_BOLD_AEN5568;6
DNARA1812N21_Bosmina_Canada_BOLD_AEN5568;6
DNARA1820N21_Bosmina_Canada_BOLD_AEN5581;6
DNARA1821N21_Bosmina_Canada_BOLD_AEA5586;6
DNARA1822N21_Bosmina_Canada_BOLD_AEA5586;6
DNARA1823N21_Bosmina_Canada_BOLD_AEA5586;6
DNARC068N19_Bosmina_Canada_BOLD_AEA5586;6
DNARC070N19_Bosmina_Canada_BOLD_AEA5586;6
ESP197N12_Bosmina_Spain_BOLD_ACA1800;6
ESP198N12_Bosmina_Spain_BOLD_ACA1800;6
ESP199N12_B_liederi_Spain_BOLD_ABZ8276;6
