Sequence;MOTU_Ward
CAISN020N12_Bosmina_Canada_BOLD_AAW7791;18
CAISN022N12_Bosmina_Canada_BOLD_AAW7791;18
CAISN034N12_Bosmina_Canada_BOLD_AAW7791;18
CAISN035N12_Bosmina_Canada_BOLD_AAW7791;18
CAISN914N13_B_sp_Canada_BOLD_AAW7791;18
DQ310635_B_sp1_JRdWN2005;18
DQ889083_B_sp_BOLD_AAW7791;18
MG449616_B_sp;18
MH321381_Eubosmina_longispina;18
MH321382_Eubosmina_longispina;18
MH321383_Eubosmina_longispina;18
MH321384_Eubosmina_longispina;18
MH321385_Eubosmina_longispina;18
MH321386_Eubosmina_longispina;18
MH321387_Eubosmina_longispina;18
MH321388_Eubosmina_longispina;18
MH321389_Eubosmina_longispina;18
MH321390_Eubosmina_longispina;18
MH321391_Eubosmina_longispina;18
MH321392_Eubosmina_longispina;18
MH321393_Eubosmina_longispina;18
MH321394_Eubosmina_longispina;18
MH321395_Eubosmina_longispina;18
MH321396_Eubosmina_longispina;18
MZ964905_B_sp1;18
MZ964907_B_sp1;18
OP829924_B_cf_longispina;18
OP829977_B_cf_coregoni;18
OP830017_B_cf_longispina;18
OP830043_B_cf_coregoni;18
OP830119_B_cf_longispina;18
OP830246_B_cf_coregoni;18
OP830292_B_cf_longispina;18
ZOOPS187N18_B_cf_longispina_Finland_BOLD_AAW7791;18
ZOOPS188N18_B_cf_longispina_Finland_BOLD_ADR9483;18
DNARA1511N21_Bosmina_Canada_BOLD_AEA3695;19
DNARA1513N21_Bosmina_Canada_BOLD_AEA3695;19
DNARA2094N21_Bosmina_Canada_BOLD_AEA3695;19
DNARA2096N21_Bosmina_Canada_BOLD_AEA3695;19
DNARA2097N21_Bosmina_Canada_BOLD_AEA3695;19
DNARA2325N21_Bosmina_Canada_BOLD_AEA3695;19
DNARA2326N21_Bosmina_Canada_BOLD_AEA3695;19
DNARA2371N21_Bosmina_Canada_BOLD_AEA3695;19
DNARA2372N21_Bosmina_Canada_BOLD_AEA3695;19
DNARA2373N21_Bosmina_Canada_BOLD_AEA3695;19
DNARA2374N21_Bosmina_Canada_BOLD_AEA3695;19
DNARA2375N21_Bosmina_Canada_BOLD_AEA3695;19
DNARA2952N21_Bosmina_Canada_BOLD_AEA3695;19
DNARA2953N21_Bosmina_Canada_BOLD_AEA3695;19
DNARA2954N21_Bosmina_Canada_BOLD_AEA3695;19
DNARA2955N21_Bosmina_Canada_BOLD_AEA3695;19
DNARA2956N21_Bosmina_Canada_BOLD_AEA3695;19
DNARA2957N21_Bosmina_Canada_BOLD_AEA3695;19
DNARC013N19_Bosmina_Canada_BOLD_AEA3695;19
GCHAR1120N19_Bosmina_Canada_BOLD_AEA3695;19
GCHAR1121N19_Bosmina_Canada_BOLD_AEA3695;19
GCHAR1122N19_Bosmina_Canada_BOLD_AEA3695;19
Liederobosmina_american_longispina02;20
MG936043_B_sp;20
MG936238_B_sp;20
MG936240_B_sp;20
MG936261_B_sp;20
MG936530_B_sp;20
MG936534_B_sp;20
OP830153_B_cf_longispina;20
OP830166_B_cf_longispina;20
Liederobosmina_tanakai02;21
AY075057_B_coregoni;22
ESP505N14_B_meridionalis_Czechia_BOLD_AAO1376;22
ESP506N14_Bosmina_Czechia_BOLD_AAO1376;22
ESP507N14_B_meridionalis_Czechia_BOLD_AAO1376;22
ESP508N14_B_meridionalis_Czechia_BOLD_AAO1376;22
ESP509N14_B_meridionalis_Czechia_BOLD_AAO1376;22
KINBZ009N22_B_longirostris_Israel_BOLD_AAO1376;22
B_longirostris_Argentina01aa;23
B_longirostris_Argentina03aa;23
B_longirostris_Argentina04aa;23
B_longirostris_Argentina05aa;23
B_longirostris_Argentina06aa;23
ESP197N12_Bosmina_Spain_BOLD_ACA1800;24
ESP198N12_Bosmina_Spain_BOLD_ACA1800;24
KINBZ001N22_B_longirostris_Israel_BOLD_AEO5856;25
KINBZ002N22_B_longirostris_Israel_BOLD_AEO5856;25
KINBZ003N22_B_longirostris_Israel_BOLD_AEO5856;25
KINBZ004N22_B_longirostris_Israel_BOLD_AEO5856;25
KINBZ005N22_B_longirostris_Israel_BOLD_AEO5856;25
KINBZ006N22_B_longirostris_Israel_BOLD_AEO5856;25
KINBZ007N22_B_longirostris_Israel_BOLD_AEO5856;25
KINBZ008N22_B_longirostris_Israel_BOLD_AEO5856;25
KINBZ010N22_B_longirostris_Israel_BOLD_AEO5856;25
KINBZ011N22_B_longirostris_Israel_BOLD_AEO5856;25
CAISN069N12_Bosmina_Canada_BOLD_ACL8120;26
DNARA1185N21_Bosmina_Canada_BOLD_AEA5586;26
DNARA1186N21_Bosmina_Canada_BOLD_AEA5586;26
DNARA1187N21_Bosmina_Canada_BOLD_AEA5586;26
DNARA1188N21_Bosmina_Canada_BOLD_AEA5586;26
DNARA1189N21_Bosmina_Canada_BOLD_AEA5586;26
DNARA1190N21_Bosmina_Canada_BOLD_AEA5586;26
DNARA1191N21_Bosmina_Canada_BOLD_AEA5586;26
DNARA1626N21_Bosmina_Canada_BOLD_AEA5586;26
DNARA1627N21_Bosmina_Canada_BOLD_AEA5586;26
DNARA1628N21_Bosmina_Canada_BOLD_AEA5586;26
DNARA1629N21_Bosmina_Canada_BOLD_AEA5586;26
DNARA1631N21_Bosmina_Canada_BOLD_AEA5586;26
DNARA1632N21_Bosmina_Canada_BOLD_AEA5586;26
DNARA1653N21_Bosmina_Canada_BOLD_AEA5586;26
DNARA1655N21_Bosmina_Canada_BOLD_AEA5586;26
DNARA1658N21_Bosmina_Canada_BOLD_AEA5586;26
DNARA1659N21_Bosmina_Canada_BOLD_AEA5586;26
DNARA1660N21_Bosmina_Canada_BOLD_AEA5586;26
DNARA1666N21_Bosmina_Canada_BOLD_AEA5586;26
DNARA1667N21_Bosmina_Canada_BOLD_AEA5586;26
DNARA1809N21_Bosmina_Canada_BOLD_AEA5586;26
DNARA1821N21_Bosmina_Canada_BOLD_AEA5586;26
